game_key,labels,text,colors,video_data,eng_type,direction,adunit_size_x,adunit_size_y
602e71486cb04749387fa4c785dbd074/7fa93007236af2ded26b,"Plant,Fruit,Food,Grapes","FRANKLIN,TEMPLETON,INCOME GROWTH,Why Choose Between,Income and Growth?,Swipe Down","1,2,3,4,5,6,7,8,9,10",1,swipe,down,600.0,900.0
adunit-winamax-vandals-du-ble-mpu/78cd6fb7ab77e365190d,"Text,Wall,Label,Advertisement,Poster,Alphabet","GROSSE,WINAMAX GROS GAIN COTE,GROS,RESPECT,T TA GUE,LE MUR","1,2,3,4,5,6,7,8,9,10",0,,,,
2c983279d27b8cf4b3741df006c3816a/c01e7ae5c6a25c6bd829,,"SWIPE UP,TO DISCOVER,THE FRAGRANCES BY TOMMY HILFIGER","1,2,3,4,5,6,7,8,9,10",0,swipe,up,600.0,900.0
c3bf91a292afbaca2ae83f85e44cbb0c/0b24bd4c06314d590ffb,Text,"KOMA,UP,SWIPE,TO REVEAL A NEW DINING EXPERIENCE","1,2,3,4,5,6,7,8,9,10",0,swipe,up,600.0,500.0
ad466fb0bcf718a3735eeedb8098506b/963f3cd2b7d79c9e345b,,"kate,spade,NEW YORK,SWIPE DOWN,TO UNLOCK A SPECIAL GIFT,FOR THE HOLIDAY SEASON","1,2,3,4,5,6,7,8,9,10",1,swipe,down,600.0,900.0
64d1455e13ac5ed115d1c01e43e7d57d/f30de959ee13e6c78d1d,"Human,Person,Clothing,Apparel,People,Helmet,Sports,Sport,Team,Team Sport,Advertisement,Football,American Football,Poster","GRIDIRON,32,PICK EM,HHHH,$10,000,EVERY WEEK,Pick for free.,SWIPE UPTO,DI IN ADD","1,2,3,4,5,6,7,8,9,10",0,swipe,up,600.0,500.0
f9af3471bcdacef8c2339574707b6ba3/66e0233a5ec44fe5d2d6,"Person,Human,Face,Baby","NEW Johnsou's,cOttontoucho,DRAG THE HAND,the,to,massage baby","1,2,3,4,5,6,7,8,9,10",1,swipe,no direction,600.0,900.0
f9af3471bcdacef8c2339574707b6ba3/fc3d1098b8bcd5ba1395,"Person,Face,Human,Baby,Newborn","NEW Johnsou's,cOttontoucho,DRAG THE HAND,the,to,massage baby","1,2,3,4,5,6,7,8,9,10",1,swipe,no direction,600.0,900.0
adunit-rotho-eyedrop-mpu/51ef7971748330daa112,"Person,Human,Asleep,Sleeping","ROHTO,COOLING EYE DROPS,TAP QUICKLY,TO WAKE HER UP","1,2,3,4,5,6,7,8,9,10",1,,up,,
adunit-rotho-eyedrop-mpu/ba10dd89a541027e16fd,"Person,Human","ROHTO,COOLING EYE DROPS,TAP QUICKLY,TO WAKE HER UP","1,2,3,4,5,6,7,8,9,10",1,,up,,
aa424aa5f2711d518bcf84062d579e06/cadec80297897d3d77cf,"Electronics,Camera,Camera Lens","LICERTIFIED BY LEXUS,TAP THE SCREEN,to find the nearest Lexus dealership,Nr6074833,1:2,8 80mm Planar","1,2,3,4,5,6,7,8,9,10",1,tap,no direction,600.0,500.0
f47d959498a0407a40d6250c0bffa8ec/eb6740e12c5f48f9a196,Text,"AIR NEW ZEALAND,Scratch,away,for incredible,deals,Discovett our,Los Angeles sale","1,2,3,4,5,6,7,8,9,10",0,,,,
dfed874f4a722fc4e607437cf824d9c4/b6df9848c6b5ca4b59ca,"Text,Handwriting",,,1,,,,
54cc93ddc4d09bff21e975192dcd4992/d07e63344e32a108cc06,Indoors,"Swipe Up t,to out how smart technology,find,is,helping people access clean water.","1,2,3,4,5,6,7,8,9,10",1,swipe,up,600.0,500.0
8a6c5040f65b10785466a0bc620876d8/dca3a966d50dccac4a77,"Automobile,Car,Transportation,Vehicle,Machine,Wheel,Person,Human,Sports Car,Coupe","G,Go Uitra Low,HOW MANY CHARGE POINT,CONNECTORS ARE THERE?,11 GNS 992,SWIPE RIGHT,To electric vehicles,explore","1,2,3,4,5,6,7,8,9,10",1,swipe,right,600.0,900.0
8a6c5040f65b10785466a0bc620876d8/b8ba063877d6383cec9a,"Car,Transportation,Vehicle,Automobile,Machine,Wheel,Person,Human,Sports Car,Coupe","G,Go UItra Low,HOW MANY CHARGE POINT,CONNECTORS ARE THERE?,L2D GNS 992,SWIPE RIGHT,To explore electric vehicles","1,2,3,4,5,6,7,8,9,10",1,swipe,right,600.0,900.0
8a6c5040f65b10785466a0bc620876d8/5c80782f2f5d315ed823,"Vehicle,Car,Transportation,Automobile,Wheel,Machine,Person,Human,Sports Car,Coupe","G,Go UItra Low,HOW MANY CHARGE POINT,CONNECTORS ARE THERE?,L2D GNS 992,SWIPE RIGHT,To explore,electric vehicles","1,2,3,4,5,6,7,8,9,10",1,swipe,right,600.0,900.0
adunit-naturemade-shoppers-pros-2-bio/96bda0327a5fcce88137,Text,"Are you shopping for,Nature Made,vitamins?,Yes,No","1,2,3,4,5,6,7,8,9,10",0,,,,
ada6daf8ff8448905ff0906dcf39f17c/7933b08cb0dae1ec79ae,"Interior Design,Indoors,Person,Human,Lighting","DRAG THE STROBE CREAM,TO REVEAL YOUR,DESTINATION","1,2,3,4,5,6,7,8,9,10",1,swipe,no direction,600.0,900.0
adunit-estee-lauder-double-wear-19-eng-amsterdam/be30adc8b9bbffe60b0e,"Cosmetics,Text","ESTEE LAUDER,DOUBLE WEAR,1. ADUNIT SIZE, width: : 468.66666666666663px, height:,703px, LOAD TIME: 238ms,SWIPE LEFT AND RIGHT,2.IMPRESSION,to discover your perfect shade,2,ESTEE LAUDER,ESTEE LAUDER,Wiear,ESTEE,LALDER","1,2,3,4,5,6,7,8,9,10",1,swipe,left,,
adunit-acnes-hero-patch-mob/f8513f685777e186ebd3,"Label,Text,Face,Smile","Ac nets Mentholatum,TAP ON,THE PIMPLES,TO PATCH THEM UP!,START","1,2,3,4,5,6,7,8,9,10",0,tap,up,,
adunit-acnes-hero-patch-mob/29547a54533ecef77cdd,"Face,Label,Text,Smile","Acnes Mentholatum,TAP ON,THE PIMPLES,TO PATCH THEM UPI,START","1,2,3,4,5,6,7,8,9,10",0,tap,up,,
e130dea89a1a27e28c2df271d3d3cef4/6d522732fd7d3d4f26e7,"Text,Alphabet,Number,Symbol","NETFLIX,SCRUB THE SCREEN,TO MCCT TLE NCAL LIcEN","1,2,3,4,5,6,7,8,9,10",1,,,,
0d8ec45916d7c8ce04b4bbab6251cb24/9a7b7fc66662ead15895,"Advertisement,Poster,Flyer,Brochure,Paper","Swipe,Up,to keep the smoke from the children,A,C B,nicorette,do somothing amazing","1,2,3,4,5,6,7,8,9,10",0,swipe,up,,
75ada73f9b02a1f6e04f1bf69d5bd007/a1e1c12aba21b92be3b8,"Person,Human,Text","SIMULIFE,LIFE SIMULATOR GAME,SWIPE UP,TO CHoOSE YOUR CAREER,Dentist,Apply,Salary: 80000.0 ,Designer,Salary: 60000.0 $,Pilot,Salary: 900,Travel agent,Salary:,45009","1,2,3,4,5,6,7,8,9,10",0,swipe,up,,
75ada73f9b02a1f6e04f1bf69d5bd007/e093d2a7bed83ad1e7fb,"Person,Human,Text","SIMULIFE,LIFE SIMULATOR GAME,SWIPE UP,TO CHOOSE YOUR CAReER,Dentist,Salary: 80000.0 $ Apply,Designer,Salary: 60000.0 $,Pilot,Salary: 9000,Travel agent,Salary: 45009","1,2,3,4,5,6,7,8,9,10",0,swipe,up,,
75ada73f9b02a1f6e04f1bf69d5bd007/acd10e0e24b011198da7,"Person,Human,Text","SIMULIFE,LIFE SIMULATOR GAME,SWIPE UP,TO CHoOSE YOUR CAREER,Dentist,Apply,Salary: 80000.0S,Designer,Salary: 60000.0 $,Pilot,Salary: 90000,Travel agent,Salary: 45009","1,2,3,4,5,6,7,8,9,10",0,swipe,up,,
adunit-hersheys-cvs-scrub-mpu/a48f2e015450a5c080e2,"Advertisement,Poster,Paper,Flyer,Brochure,Food","We Have NEW,Reeses,Available at CVS pharmacy,WIPE AWAY,TO REVEAL.,WIPE YOUR DROOL,AWAY TOO.","1,2,3,4,5,6,7,8,9,10",0,,,,
1b2cff7e123266b7c863a1940c570c65/8eb8b83c25435efd9f92,"Plant,Person,Human,Vegetable,Food,Finger","simple feast,SWIPE NED,Og lay et delikat maltid pa 10 minutter","1,2,3,4,5,6,7,8,9,10",1,swipe,no direction,600.0,900.0
1b2cff7e123266b7c863a1940c570c65/68542f71712e1ef27d71,"Plant,Person,Human,Food,Vegetable,Finger","simple feast,SWIPE NED,Og lav et delikat maltid pa 10 minutter","1,2,3,4,5,6,7,8,9,10",1,swipe,no direction,600.0,900.0
1b2cff7e123266b7c863a1940c570c65/e008ba2900125bc98f12,"Plant,Person,Human,Food,Vegetable,Finger","simple feast,SWIPE NED,Og lav et delikat maltid pa 10 minutter","1,2,3,4,5,6,7,8,9,10",1,swipe,no direction,600.0,900.0
1b2cff7e123266b7c863a1940c570c65/6684f80b7705eabbf558,"Plant,Human,Person,Vegetable,Food,Finger","simple feast,SWIPE NED,Og lay et delikat maltid pa 10 minutter","1,2,3,4,5,6,7,8,9,10",1,swipe,no direction,600.0,900.0
1b2cff7e123266b7c863a1940c570c65/f9322d80bcefac6c8206,"Plant,Human,Person,Vegetable,Food,Finger","simple feast,SWVIPEA NERAT,For att snabbt fixa valsmakande mat","1,2,3,4,5,6,7,8,9,10",1,,,,
adunit-bea-supremegold-mob-pop-test/20458c5611838976ecc1,"Person,Human,Crowd","SupremeGold BEA,E,2211 1833","1,2,3,4,5,6,7,8,9,10",0,,,,
90a2b4b9dada1ecb7fdfeec6a3fe0ff6/45efe715bc0a7c0874ea,"Vehicle,Automobile,Transportation,Car,Suv","LINCOLN,TAP,To enter the all-new 2020 Lincoln Aviator","1,2,3,4,5,6,7,8,9,10",1,tap,no direction,600.0,500.0
c099b9b67000fe9e2437bfde0452d58a/ee7d0503931b911d4f95,"Advertisement,Poster","TAP,THE TEA TARGET,TO FULLY CHARGE,YOUR DAY,4,OFFBLAK","1,2,3,4,5,6,7,8,9,10",0,tap,no direction,600.0,900.0
d810e5d614e8afb707550e6c891d2199/8adc1c69112cb03d97e9,"Accessory,Accessories,Jewelry","CHAUMET,PARIS,Right,Swipe,to multiply the collection","1,2,3,4,5,6,7,8,9,10",1,swipe,right,600.0,500.0
5122be8b525e9309db2e2418a7cc6d9a/a8c76de719e82cb90f5a,"Chair,Furniture,Couch,Interior Design,Indoors,Room,Meal,Food","KIMPTON,HOTELS & RESTAURANTS,Swipe up to explore","1,2,3,4,5,6,7,8,9,10",0,swipe,up,600.0,900.0
6cdf61a7deb682547a24e4ed81beb200/f3edbef12697c608bb2c,"Poster,Advertisement,Person,Human,Flyer,Brochure,Paper,Hair","AFIR7,anos,Puxe a chave","1,2,3,4,5,6,7,8,9,10",0,,,,
097b04b65ad1608a869f2fb08909a612/605cf71ab55fc88a0ed5,"Box,Text,Label","Pact,COFFEE,Pact,COFFEE,OPEN,UP,& GET BREWING,SWIPE RIGHT,To open your Pact Coffee","1,2,3,4,5,6,7,8,9,10",1,swipe,right,600.0,900.0
d255ecfbe651d8250767a3458f425fc2/9844c24b5617c36a0b17,"Transportation,Vehicle,Automobile,Car,Tire,Wheel,Machine,Car Wheel,Spoke,Alloy Wheel,Advertisement","Balayer l'ecran,Pour decouvrir la nouvelle,Audi Q3 Sportback","1,2,3,4,5,6,7,8,9,10",1,swipe,no direction,600.0,500.0
d255ecfbe651d8250767a3458f425fc2/2f033f7711392a7ab8f7,"Automobile,Transportation,Vehicle,Car,Tire,Wheel,Machine,Car Wheel,Spoke,Alloy Wheel,Advertisement","Balayer l'ecran,Pour decouvrir la nouvelle,Audi Q3 Sportback","1,2,3,4,5,6,7,8,9,10",1,swipe,no direction,600.0,500.0
adunit-build-dior-forever-mob/c28f438bfb27135cca92,"Cosmetics,Lipstick","Dior,FOREVER,ior,ior,ior,or,Or,FOREVER,SKINCLOW GLOW SKIN aaw,aow SRINCLOW GLow SKIN,FOREVER,FOREVER FOREVER FOREVER,FOREVER FOREVER FOREVER,FOREVER FOREVER RORRVR,FOREVER FOREVER FOREVER,FOREVER FOREVER FOREVER","1,2,3,4,5,6,7,8,9,10",1,,,,
adunit-build-dior-forever-mob/9cc0504cfd736049acd0,"Cosmetics,Lipstick","Dior,FOREVER,Dior,or,Gow XIN SKIN GLOW,GLoW KIN GLOW SKIN oow,FOREVER FOREVER FOREVER,FOREVER FOREVER ORVR GLOW oow GLOW SKIN,FOREVER FOREVER FOREVER,FOREVER FOREVER OREVER,FOREVER FOREVER FOREVER,FOREVER FOREVER BOREVER","1,2,3,4,5,6,7,8,9,10",1,,,,
adunit-build-dior-forever-mob/ff7cf57a67ff45521557,"Cosmetics,Lipstick","Dior,FOREVER,ior,ior,ior,or,Or,FOREVER,SKINCLOW GLOW SKIN aaw,aow cLow SKIN GLow SKIN,FOREVER,FOREVER FOREVER FOREVER,FOREVER FOREVER FOREVER,FOREVER FOREVER RORRVR,FOREVER FOREVER FOREVER,FOREVER FOREVER FOREVER","1,2,3,4,5,6,7,8,9,10",1,,,,
adunit-build-dior-forever-mob/0e464adeef2a9d0b8f5f,"Cosmetics,Lipstick","Dior,FOREVER,ior,ior,ior,or,Or,FOREVER,SKINCLOW GLOW SKIN aaw,aow SRINCLOW GLow SKIN,FOREVER,FOREVER FOREVER FOREVER,FOREVER FOREVER FOREVER,FOREVER FOREVER RORRVR,FOREVER FOREVER FOREVER,FOREVER FOREVER FOREVER","1,2,3,4,5,6,7,8,9,10",1,,,,
adunit-build-dior-forever-mob/042a026281984a6b8eba,"Cosmetics,Lipstick","FOREVER Dior,RORRVRR,FOREVER,FOREVER,FOREVER,ior,FOREVER,FOREVER GLow SKIN,FOREVER,GLOW,GLOW SKIN FOREVER,FOREVER FOREVER aOW NIN,FOREVER,FOREVER GLOW SKIN,FOREVER,FOREVER,FOREVER,D,D FOREVER Gow,D SKIN FOREVER,TAP YOUR PREFERRED SHADE","1,2,3,4,5,6,7,8,9,10",1,tap,no direction,,
f97f1fcfbdfe078232bb102d37f6df29/fea96e02df944cda47fa,"Vehicle,Transportation,Automobile,Car,Sports Car,Coupe,Sedan","LINCOLN.,TAP,To enter the all-new,2020,Lincoln Aviator","1,2,3,4,5,6,7,8,9,10",0,tap,no direction,600.0,900.0
d34c611008afbcca3adf91e58d0dd6ea/045a444cf9eafb91e508,"Person,Human,Advertisement,Poster,Flyer,Brochure,Paper","audible ORIGINAL 174 TE ACCLANOD 100 S16,BECOMING GEORGE R. MARTIN,Emm,THOMPSO,NSON,CAMEO,HRONES,MICHELLE,OBAMA,LY FROM,udible,BY THEAUTHO,audible,ORIGINAL,audible ORIGINAL,ANADA IS,DRAG THE,HEADPHONES,TO THE LISTENER,DISCOVER A NEW,WAY TO READ,audible,an amazon comnany","1,2,3,4,5,6,7,8,9,10",0,swipe,no direction,600.0,500.0
6d06fd61e3c018308ee81178d17ee6de/2635ca6c37a0eb8e3adc,"Nature,Outdoors,Snow","Standard,Chartered,SWIPE THROUGH THE SNOW,to discover a rewarding holiday","1,2,3,4,5,6,7,8,9,10",0,swipe,no direction,600.0,500.0
02cc1b5d61e0593435316315ad2e6c6f/fe137ec50be57d8c6170,"Advertisement,Poster,Paper,Brochure,Flyer,Human,Person","SoFi,Hong Kong,GET A FREE,STOCK UP TO,so FEE TRADING APP,100,USD OF YOUR,CHOICE,SWIPE,UP,TO EXPLORE,ACCOUNT OPENING OFFER","1,2,3,4,5,6,7,8,9,10",0,swipe,up,600.0,500.0
adunit-axa-better-life-mob/50279f0394a66657c1e8,"Person,Human,Advertisement,Poster,Brochure,Paper,Flyer","AXA,DRAG THE SLIDER,to choose which generation,you belong to,Baby,Gen Z Millennials Gen X Boomers,1995-2001 1980-1994 1965-1979 1954-1964,(18 -2 old) (25 -39 (40-54 years old) (55 -65 years old),years,years","1,2,3,4,5,6,7,8,9,10",0,swipe,no direction,,
adunit-axa-better-life-mob/43e8165e6a50e17495af,"Person,Human,Advertisement,Poster,Flyer,Brochure,Paper","AXA,DRAG THE SLIDER,to choose which generation,you belong to,Baby,GenZ Millennials Gen X Boomers,1995-2001 1980-1994 1965-1979 1954-1964,(18 -2 years old) (25 -39 (40-54 years old) (55 -65 years old),years","1,2,3,4,5,6,7,8,9,10",0,swipe,no direction,,
1b1b1cd5b5fa7fcc23eae1056b7021ac/9233367d9761a7398fcd,"Bottle,Cosmetics,Perfume","Jo MALONE,LONDON,Jo MALONE,LOo,Til,SCENT O The,SEASON","1,2,3,4,5,6,7,8,9,10",1,,,,
f22098d94b04721ad8edcca7b2fa51d2/1f3705e6d1e01a8863a8,"Texture,Polka Dot,Bird,Animal,Plant,Tree","PULL THE RIBBON,TO UNWRAP THE PRESENT AND,DISCOVER YOUR BE DELICIOUS GIFT","1,2,3,4,5,6,7,8,9,10",1,,,,
f22098d94b04721ad8edcca7b2fa51d2/fa4006520d7b0589d919,"Texture,Polka Dot,Animal,Bird","PULL THE RIBBON,TO UNWRAP THE PRESENT AND,DISCOVER YOUR BE DELICIOUS GIFT","1,2,3,4,5,6,7,8,9,10",1,,,,
adunit-progressive-endframe-fs/9f8b10e52f89be13369a,"Advertisement,Poster,Paper,Flyer,Brochure","PROGRESSIVE,SWIPE UP TO,WATCH THE,SAVINGS GROW,T","1,2,3,4,5,6,7,8,9,10",0,swipe,up,,
12a2ed028983b36fc081048739a349c9/b6d1b5d365ce2db9c2ed,"Text,Architecture,Building","Klas,TAP AND,HOLD,TO TEAR OPEN THE GIFT","1,2,3,4,5,6,7,8,9,10",1,,no direction,600.0,500.0
712ab5bb5a01bb7eaea8419cf5b288a6/7fdb43b7c048b6abaf0d,"Poster,Brochure,Paper,Flyer,Advertisement,Automobile,Car,Transportation,Vehicle","HSBC Life,?","1,2,3,4,5,6,7,8,9,10",0,,,,
712ab5bb5a01bb7eaea8419cf5b288a6/aa3b51a18d0b508d6cbe,"Car,Vehicle,Automobile,Transportation,Urban,Advertisement,Paper,Flyer,Poster,Brochure",HSBC Life,"1,2,3,4,5,6,7,8,9,10",0,,,,
712ab5bb5a01bb7eaea8419cf5b288a6/bf3e6c2a41e69eacc7fa,"Car,Vehicle,Transportation,Automobile,Urban,Poster,Paper,Flyer,Advertisement,Brochure",HSBC Life,"1,2,3,4,5,6,7,8,9,10",0,,,,
adunit-dior-rouge-ultra-care/36ead48cf87264e20d24,"Face,Human,Person,Mouth,Lip","DIOROUGE,Witra Care,TAP TO CHOOSE,YOUR SHADE OF ULTRA CARE LIPSTICK","1,2,3,4,5,6,7,8,9,10",0,tap,no direction,,
adunit-dior-rouge-ultra-care/0c5dae132d02c66fbccf,"Face,Person,Human,Mouth,Lip","DIOROUGE,Witra Care,TAP TO CHOOSE,YOUR SHADE OF ULTRA CARE LIPSTICK","1,2,3,4,5,6,7,8,9,10",0,tap,no direction,,
adunit-dior-rouge-ultra-care/ae4f24497f29a7258fe1,"Face,Person,Human,Mouth,Lip","DIOROUGE,Witra Care,TAP TO CHOOSE,YOUR SHADE OF ULTRA CARE LIPSTICK","1,2,3,4,5,6,7,8,9,10",0,tap,no direction,,
051f4110719df56d26eedfd5ef8e0391/d78c218ae28f7c087a66,"Car,Automobile,Transportation,Vehicle,Urban","HSBC Life,?","1,2,3,4,5,6,7,8,9,10",0,,,,
051f4110719df56d26eedfd5ef8e0391/6f1f1ea5088826db85a0,"Vehicle,Car,Automobile,Transportation,Urban,Poster,Advertisement,Brochure,Flyer,Paper",HSBC Life,"1,2,3,4,5,6,7,8,9,10",0,,,,
ea25f442eef8701fe2cdfe51fb940a69/25a45e010fbec56aa300,"Couch,Furniture","Scs,SOFA CARPET SPECIALIST,SCRUB,To reveal fantastic,our,range","1,2,3,4,5,6,7,8,9,10",0,,,,
7015b8da977aec1ab5f5e6d046cfc031/1d91a15dd015f64bd9c3,"Plant,Food,Vegetable,Fruit","Get up tO 25% off,grocery store prices.,Even before coupons.,Swipe up savings,for,BJs,Wholesale Club","1,2,3,4,5,6,7,8,9,10",0,swipe,up,,
50bf90bb5a43bd7201f1497301ea823b/990425608f1af60048fa,"Advertisement,Poster,Text","got milk?,Deslizar a la,izquierda,para tomar leche y y,leer historias para dormir","1,2,3,4,5,6,7,8,9,10",0,,,,
8e2062364cbe642c8cbe18369499d0f1/46873babcfa24b4d8c24,"Person,Human,Flyer,Brochure,Advertisement,Poster,Paper","Original Herb,SWISS,+ MADE,Herb Lozenges,Swiss,sugar free,soothino. Sweetened 9reat tassing with Stevia*","1,2,3,4,5,6,7,8,9,10",0,,,,
adunit-cartier-christmas-campaign-mpu-V2-EN/765fb6d4a5b78d8bf5d1,"Bottle,Cosmetics","Cartier,TAP AND HOLD,TO FIND THE PERFECT GIFT","1,2,3,4,5,6,7,8,9,10",1,,no direction,,
aa3fa39572b226cde5d0c10888b74eaf/01150970b567c8665b27,"Electronics,Camera,Camera Lens","LICERTIFIED BY LEXUS,TAP THE SCREEN,to find the nearest Lexus dealership,Nr6074833,1:2,8 80mm Planar","1,2,3,4,5,6,7,8,9,10",1,tap,no direction,600.0,500.0
adunit-hersheys-cvs-scrub-mob/4bc5badf7b34820eee6d,"Advertisement,Poster,Flyer,Paper,Brochure,Food","We Have,NEW,Reeses,Available at CVS,pharmacy,WIPE AWAY TO REVEAL.,WIPE YOUR DROOL AWAY TOO.","1,2,3,4,5,6,7,8,9,10",0,,,,
23ea5a650073e1b0f41d330ebf8d832d/f06d1a360aea832e1654,"Person,Human,Advertisement,Phone,Electronics,Poster,Flyer,Brochure,Paper","SK-II,PRESENTS,and Hold,Tap,to watch the #BareSkinChat","1,2,3,4,5,6,7,8,9,10",1,,no direction,600.0,900.0
9c0a594f23b567e4f1f7bb566d7a53db/27cb2ecb4bc54e90032a,"Bottle,Cosmetics,Perfume","Jo MALONE,LONDON,Jo MALONE,LONDON,SeENT Or THE,SEASON,COLONE,Swipe up","1,2,3,4,5,6,7,8,9,10",1,swipe,up,600.0,900.0
0be8c2511ca774c4155421201a11ec65/50a1d47e84773669c1a4,,"ESTEE,LAUDER,TIPPEN SIE HIER,ENTDECKEN SIE DIE PERFEKTEN","1,2,3,4,5,6,7,8,9,10",0,tap,no direction,600.0,900.0
adunit-volkswagen-golfgte8-tap-mpu/cb51df34d090e6e09b4d,"Car,Automobile,Vehicle,Transportation,Person,Human,Steering Wheel","+,APPUYEZ SUR LES CERCLES","1,2,3,4,5,6,7,8,9,10",0,tap-and-hold,no direction,,
adunit-volkswagen-golfgte8-tap-mpu/8c669b72c8bcd920cb26,"Car,Transportation,Automobile,Vehicle,Human,Person,Steering Wheel","i,APPUYEZ SUR LES CERCLES","1,2,3,4,5,6,7,8,9,10",0,tap-and-hold,no direction,,
